"action","agency_names","comment_url","comments_close_on","effective_on","html_url","pdf_url","publication_date","signing_date","title","topics","abstract"
"Notice of information collection.","National Aeronautics and Space Administration","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06548/notice-of-information-collection","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06548.pdf","04/04/2017","","Notice of Information Collection","","The National Aeronautics and Space Administration, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995."
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06565/self-regulatory-organizations-nyse-mkt-llc-order-approving-proposed-rule-change-to-amend-rule-9251ny","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06565.pdf","04/04/2017","03/29/2017","Self-Regulatory Organizations; NYSE MKT LLC; Order Approving Proposed Rule Change To Amend Rule 925.1NY Regarding Market Maker Quotations, Including To Adopt a Market Maker Light Only Quotation","",""
"","Justice Department; Antitrust Division","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06590/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-cooperative-research","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06590.pdf","04/04/2017","","Notice Pursuant to the National Cooperative Research and Production Act of 1993-Cooperative Research Group on Energy Storage System Evaluation and Safety II","",""
"Suspension of comment period.","Federal Financial Institutions Examination Council","","","04/04/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06596/appraisal-subcommittee-proposed-revised-policy-statements","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06596.pdf","04/04/2017","","Appraisal Subcommittee; Proposed Revised Policy Statements","","The Appraisal Subcommittee of the Federal Financial Institutions Examination Council (ASC) is suspending the public comment period for the Proposed Revised Policy Statements effective April 4, 2017. The ASC published the Proposed Revised Policy Statements on January 10, 2017, under Docket Number AS17-01. The comment period was scheduled to close on April 10, 2017. The suspension of the comment period will allow the President's appointees the opportunity to review and consider this action."
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06608/quilt-block-wind-farm-llc-supplemental-notice-that-initial-market-based-rate-filing-includes-request","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06608.pdf","04/04/2017","","Quilt Block Wind Farm LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization","",""
"","Securities and Exchange Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06567/self-regulatory-organizations-new-york-stock-exchange-llc-order-approving-proposed-rule-change","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06567.pdf","04/04/2017","03/29/2017","Self-Regulatory Organizations; New York Stock Exchange LLC; Order Approving Proposed Rule Change Amending Rule 98","",""
"Announcement of review.","Environmental Protection Agency","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06519/review-of-the-standards-of-performance-for-greenhouse-gas-emissions-from-new-modified-and","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06519.pdf","04/04/2017","","Review of the Standards of Performance for Greenhouse Gas Emissions From New, Modified, and Reconstructed Stationary Sources: Electric Generating Units","","The U.S. Environmental Protection Agency (EPA) announces that it is reviewing and, if appropriate, will initiate proceedings to suspend, revise or rescind the Standards of Performance for Greenhouse Gas Emissions From New, Modified, and Reconstructed Stationary Sources: Electric Generating Units."
"","Commerce Department; International Trade Administration","","","04/04/2017","https://www.federalregister.gov/documents/2017/04/04/2017-06703/certain-carbon-and-alloy-steel-cut-to-length-plate-from-taiwan-final-determination-of-sales-at-less","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06703.pdf","04/04/2017","","Certain Carbon and Alloy Steel Cut-To-Length Plate From Taiwan: Final Determination of Sales at Less Than Fair Value and Final Negative Determination of Critical Circumstances","","The Department of Commerce (the Department) determines that certain carbon and alloy steel cut-to-length plate (CTL plate) from Taiwan is being, or is likely to be, sold in the United States at less than fair value (LTFV). In addition, we determine that critical circumstances do not exist with respect to imports of the subject merchandise. The period of investigation (POI) is April 1, 2015, through March 31, 2016. The final dumping margins of sales at LTFV are listed below in the ``Final Determination'' section of this notice."
"Notice of public meetings.","Agriculture Department; Animal and Plant Health Inspection Service","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06639/animal-disease-traceability-system-public-meetings","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06639.pdf","04/04/2017","","Animal Disease Traceability System; Public Meetings","","This is to inform the public of upcoming meetings regarding the Animal Disease Traceability (ADT) system. These regional meetings will let the Animal and Plant Health Inspection Service hear from the public, particularly from the cattle and bison sectors, about the successes and challenges of the current ADT framework and provide a venue for the exchange of ideas about ways to overcome these challenges and fill gaps in the existing system."
"","Energy Department; Federal Energy Regulatory Commission","","","","https://www.federalregister.gov/documents/2017/04/04/2017-06601/combined-notice-of-filings","https://www.gpo.gov/fdsys/pkg/FR-2017-04-04/pdf/2017-06601.pdf","04/04/2017","","Combined Notice of Filings","",""
